arc_length,stress_height_5.0,stress_height_7.5,stress_height_10.0,stress_height_12.5,stress_height_15.0
1.762903448814107676e+01,1.962634192389321797e+00,2.326980872882893792e+00,2.914978838164804298e+00,3.980721552589390644e+00,6.188600044423787416e+00
1.779693005469480127e+01,1.963234240816505105e+00,2.326744427894622547e+00,2.913461118895413371e+00,3.979300218805247091e+00,6.221132942671967925e+00
1.796482562124852578e+01,1.963930989109285541e+00,2.326599314633642113e+00,2.911965203057664819e+00,3.977140738602833459e+00,6.248683493320909221e+00
1.813272118780225028e+01,1.964723817569267617e+00,2.326540027845212855e+00,2.910512793799158171e+00,3.974323200199443296e+00,6.273315869793647970e+00
1.830061675435597479e+01,1.965611681628972818e+00,2.326573402919350997e+00,2.909131084866589667e+00,3.970916819978263845e+00,6.294333764058814396e+00
1.846851232090969930e+01,1.966593865247441064e+00,2.326693786814713949e+00,2.907836751171106737e+00,3.967003984606809919e+00,6.311832355071216760e+00
1.863640788746342380e+01,1.967669140477824374e+00,2.326901163921742288e+00,2.906653313670292338e+00,3.962661940737712385e+00,6.325769041699063067e+00
1.880430345401714831e+01,1.968835558149508502e+00,2.327198309874304094e+00,2.905591005528605386e+00,3.957963379100101875e+00,6.336148493987884045e+00
1.897219902057087282e+01,1.970091986109037796e+00,2.327580495262766114e+00,2.904671092760471751e+00,3.953021306363381449e+00,6.342998199507340118e+00
1.914009458712459733e+01,1.971438936142724252e+00,2.328043223024965247e+00,2.903898277633981895e+00,3.947882597686648065e+00,6.346361380054835521e+00
1.930799015367832183e+01,1.972870568111600553e+00,2.328582518584114247e+00,2.903285866398518156e+00,3.942583030498720831e+00,6.346333536031000477e+00
1.947588572023204634e+01,1.974384451619199066e+00,2.329193069101731961e+00,2.902843283116092188e+00,3.937264305770038053e+00,6.342989776272210278e+00
1.964378128678577085e+01,1.975984447781169218e+00,2.329870615645905474e+00,2.902576684212894165e+00,3.932007212222408565e+00,6.336450335218364316e+00
1.981167685333949535e+01,1.977668511124471395e+00,2.330607786838816420e+00,2.902473682803520916e+00,3.926866622548391916e+00,6.326861085547392349e+00
1.997957241989321986e+01,1.979434476386964237e+00,2.331398789724569376e+00,2.902548672414702047e+00,3.921909881846997958e+00,6.314400850757253103e+00
2.014746798644694437e+01,1.981281636728839501e+00,2.332235462563886585e+00,2.902788286770817461e+00,3.917212401661298138e+00,6.299272137268940419e+00
2.031536355300066887e+01,1.983209445782656122e+00,2.333111098426144725e+00,2.903194659511185272e+00,3.912826153886375113e+00,6.281698246875690117e+00
2.048325911955439338e+01,1.985217983511148754e+00,2.334020594039927676e+00,2.903771586300039509e+00,3.908832033675057716e+00,6.261930312516179598e+00
